ChainOutputChainOutput: 
5,4,1170.0=0.03846154,1170.0=0.03846154,1172.0=0.03846154,16968.0=0.03846154,18497.0=0.07692308,18692.0=0.03846154,36929.0=0.03846154,8338.0=0.03846154,9346.0=0.03846154,9234.0=0.03846154,4738.0=0.03846154,37384.0=0.07692308,9346.0=0.03846154,9360.0=0.03846154,9234.0=0.03846154,9346.0=0.03846154,8338.0=0.07692308,9348.0=0.03846154,2118.0=0.03846154,18692.0=0.03846154,18692.0=0.07692308,18468.0=0.03846154,
5,5,2341.0=0.07692308,2377.0=0.07692308,18724.0=0.07692308,37448.0=0.07692308,37441.0=0.07692308,37448.0=0.07692308,4681.0=0.07692308,37448.0=0.07692308,9362.0=0.07692308,9362.0=0.07692308,9362.0=0.07692308,18724.0=0.07692308,18724.0=0.07692308,
5,6,26920.0=0.045454547,18725.0=0.045454547,18729.0=0.045454547,19017.0=0.09090909,37449.0=0.045454547,37449.0=0.045454547,37449.0=0.045454547,37449.0=0.045454547,37449.0=0.045454547,37449.0=0.045454547,37449.0=0.045454547,37449.0=0.22727273,37458.0=0.09090909,37522.0=0.09090909,42034.0=0.045454547,
5,7,20916.0=1.0,
5,8,
5,9,
5,10,
5,11,
5,12,
5,13,
5,14,
5,15,
5,16,
6,0,
6,1,
6,2,1040.0=0.5,1040.0=0.5,
6,3,9344.0=0.33333334,8324.0=0.33333334,1537.0=0.33333334,
6,4,9234.0=0.5,1061.0=0.5,
6,5,9362.0=0.071428575,9362.0=0.035714287,9362.0=0.035714287,2754.0=0.035714287,9362.0=0.10714286,9364.0=0.10714286,9380.0=0.10714286,9508.0=0.035714287,10340.0=0.035714287,10532.0=0.035714287,18532.0=0.035714287,18724.0=0.071428575,18724.0=0.035714287,18724.0=0.071428575,18724.0=0.10714286,18724.0=0.035714287,18724.0=0.035714287,
6,6,49384.0=0.5,23617.0=0.5,
6,7,
6,8,
6,9,59919.0=0.5,63368.0=0.5,
6,10,24026.0=1.0,
6,11,
6,12,24031.0=1.0,
6,13,
6,14,
6,15,
6,16,
7,0,
7,1,
7,2,
7,3,
7,4,
7,5,4231.0=1.0,
7,6,5891.0=1.0,
7,7,
7,8,
7,9,41662.0=1.0,
7,10,
7,11,
7,12,
7,13,
7,14,
7,15,
7,16,
8,0,
8,1,
8,2,
8,3,
8,4,
8,5,
8,6,
8,7,
8,8,48520.0=1.0,
8,9,41659.0=1.0,
8,10,
8,11,55983.0=1.0,
8,12,48830.0=1.0,
8,13,44031.0=0.6666667,64506.0=0.33333334,
8,14,49087.0=1.0,
8,15,65471.0=1.0,
8,16,
9,0,
9,1,
9,2,
9,3,
9,4,
9,5,
9,6,16820.0=1.0,
9,7,
